stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end,t_slice_phi,t_plant_rollout,t_accumulate,t_window_grid,t_filter,t_xhat,t_replan,t_postlog
66,282.35144805908203,6,5,0.504582,0.50836277,0.7859062613155763,0.45053672292707597,0.38175995471425056,0.3563243655480328,0.8069697964973934,0.08199557913196456,0.09227282225056964,0.0,3.123283386230469e-5,4.887580871582031e-5,9.5367431640625e-7,23.510284185409546,7.486343383789062e-5,258.8407578468323,8.106231689453125e-6
67,23.930680990219116,6,0,0.54596514,0.49065924,0.7861339236358246,0.44690582731431844,0.3823341897500633,0.3581210974926936,0.8021932557980808,0.08143321337837023,0.09281181207207706,1.1920928955078125e-6,1.3828277587890625e-5,3.218650817871094e-5,9.5367431640625e-7,23.930438995361328,7.104873657226562e-5,0.0,9.5367431640625e-7
68,279.7472050189972,5,5,0.51669955,0.45709804,0.78636269181738,0.4466769472686527,0.3734374181633107,0.3558105941993042,0.7959935785806317,0.07983393977392993,0.09291060617967135,9.5367431640625e-7,3.695487976074219e-5,5.602836608886719e-5,2.1457672119140625e-6,19.768983840942383,7.104873657226562e-5,259.9777729511261,1.0013580322265625e-5
69,19.89086890220642,5,0,0.550013,0.5614397,0.7863837328361101,0.45078910931922167,0.37617359091650987,0.3699524091689271,0.7757519658309825,0.07855640224660754,0.09344963623638239,9.5367431640625e-7,2.4080276489257812e-5,6.198883056640625e-5,9.5367431640625e-7,19.8906409740448,4.9114227294921875e-5,0.0,9.5367431640625e-7
70,284.54263496398926,6,5,0.5195983,0.5288688,0.786265813423998,0.45243684185806654,0.37599988187654054,0.3660293949431173,0.7746608784907524,0.07817916461832167,0.09241212777800491,9.5367431640625e-7,2.5033950805664062e-5,5.1021575927734375e-5,9.5367431640625e-7,23.130542993545532,7.295608520507812e-5,261.4116041660309,1.4066696166992188e-5
71,20.242110013961792,5,0,0.60300684,0.49767685,0.7861354528971924,0.45857291765713315,0.3753953705415645,0.3593136517003548,0.7888843994161104,0.07785585049992123,0.09275454909582295,9.5367431640625e-7,3.504753112792969e-5,4.696846008300781e-5,3.0994415283203125e-6,20.241831064224243,7.200241088867188e-5,0.0,9.5367431640625e-7
72,336.9814431667328,6,6,0.5688637,0.46357036,0.786071329814296,0.4608883017955703,0.3747643245930501,0.3611242940140369,0.7778692255936328,0.07828637633528812,0.09105987807063061,9.5367431640625e-7,4.506111145019531e-5,6.008148193359375e-5,1.9073486328125e-6,25.256455183029175,4.792213439941406e-5,311.7245900630951,1.1205673217773438e-5
73,22.072415828704834,6,0,0.5048029,0.47969136,0.7859356873999572,0.4631298045201462,0.3749268246271898,0.3537856100545112,0.7802365592582181,0.07668963706513272,0.09188287602824805,9.5367431640625e-7,2.5033950805664062e-5,5.793571472167969e-5,9.5367431640625e-7,22.072192192077637,4.792213439941406e-5,0.0,9.5367431640625e-7
74,284.0226330757141,6,5,0.47540557,0.44891784,0.7856988319638181,0.46359854145684143,0.3768753553895915,0.35270945131819503,0.7580460769275653,0.07686582779858386,0.09111671552792196,9.5367431640625e-7,2.5987625122070312e-5,6.103515625e-5,2.1457672119140625e-6,23.995419025421143,7.581710815429688e-5,260.0268051624298,8.106231689453125e-6
75,23.481340885162354,6,0,0.59755164,0.5600956,0.7853650728233489,0.46199555112188095,0.37826324081011947,0.3559188198612808,0.7588580927312146,0.07472448015181343,0.09127288971174043,9.5367431640625e-7,1.7881393432617188e-5,4.9114227294921875e-5,9.5367431640625e-7,23.481138944625854,4.9114227294921875e-5,0.0,9.5367431640625e-7
76,283.0425581932068,6,5,0.5658117,0.5271898,0.7850174891032097,0.46185261320875814,0.3729470446917764,0.3477579692649081,0.7517138025836722,0.0752977625144739,0.08960919552453984,1.1920928955078125e-6,2.5987625122070312e-5,5.698204040527344e-5,9.5367431640625e-7,23.80739998817444,6.914138793945312e-5,259.2347218990326,1.0013580322265625e-5
77,24.48139500617981,6,0,0.59301287,0.5294644,0.784686492912298,0.4642616683399476,0.37214189720618723,0.3409574616069452,0.763492685556267,0.0754708319842255,0.08943696479089384,1.1920928955078125e-6,2.5987625122070312e-5,4.38690185546875e-5,2.1457672119140625e-6,24.4811429977417,6.4849853515625e-5,0.0,1.9073486328125e-6
78,283.57416105270386,6,5,0.5618933,0.5000146,0.7844119690254988,0.46293243473621826,0.3752227533520975,0.34233241438886425,0.7612565306106328,0.0761078353760635,0.09091290978774565,9.5367431640625e-7,3.814697265625e-5,5.888938903808594e-5,3.0994415283203125e-6,23.870396852493286,6.699562072753906e-5,259.70335602760315,8.106231689453125e-6
