stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
178,5,0.04973766578938282,0.06289916013025879,0.013161494340875962,0.06580747170437977,124.34890434179461,128,16,16,20.86371283386694,16;32;64;128,20.86371283386694;4.80940267573464;3.77942312687688;0.661778470896824,0.2,2,214,0.8359375,63.060004844213836,66.12052448722534,3.060519643011503,47.679556568751295,14.899861427734779,6.321911096572876
178,6,0.06289916013025879,0.06580747170437977,0.0029083115741209836,0.06580747170437977,127.83681594697428,128,16,16,23.295897917901122,16;32;64;128,23.295897917901122;5.834258058158877;3.6343765108168644;0.19793001524326684,0.2,2,216,0.84375,66.12052448722534,66.83615848817863,0.7156340009532869,42.4539229075076,13.266850908596123,6.336107015609741
180,1,0.0,0.008686576961839894,0.008686576961839894,0.054668066405057524,64.0000000229999,128,16,16,32.52801696508283,16;32;64;128,32.52801696508283;12.639020824148725;8.87918821551618;1.3281066490338407,0.2,2,238,0.9296875,-138.95577176084043,-24.73831769093522,114.21745406990522,45.58635084139293,14.24573463793529,6.3275299072265625
180,2,0.008686576961839894,0.0196201902428514,0.010933613281011507,0.054668066405057524,90.50324192223212,128,16,16,33.19309110962434,16;32;64;128,33.19309110962434;9.689649470784024;6.507398723528084;1.0840705350260467,0.2,2,236,0.921875,-24.73831769093522,27.335305011307355,52.073622702242574,42.83875339150287,13.387110434844645,6.339668035507202
180,3,0.0196201902428514,0.03055380352386291,0.010933613281011507,0.054668066405057524,111.66249259903032,128,16,16,29.809649812149058,16;32;64;128,29.809649812149058;9.415411529641458;1.7068930049417355;0.8927553136128925,0.2,2,232,0.90625,27.335305011307355,48.269480681512505,20.93417567020515,44.4541248456011,13.891914014250343,6.340918064117432
180,4,0.03055380352386291,0.041487416804874416,0.010933613281011507,0.054668066405057524,121.13873462397429,128,16,16,21.296619707254266,16;32;64;128,21.296619707254266;4.4416801875463285;3.830722856310919;1.1851334452398972,0.2,2,224,0.875,48.269480681512505,54.12269043162814,5.853209750115639,41.621082920682746,13.006588412713358,6.3408520221710205
180,5,0.041487416804874416,0.052421030085885924,0.010933613281011507,0.054668066405057524,123.96237603664389,128,16,16,20.700219248609574,16;32;64;128,20.700219248609574;6.331048463029865;1.8612672044765217;1.0978802595531931,0.2,2,221,0.86328125,54.12269043162814,58.60418162163114,4.481491190002998,42.93639482348519,13.417623382339121,6.3385701179504395
180,6,0.052421030085885924,0.054668066405057524,0.0022470363191715997,0.054668066405057524,127.86575354547543,128,16,16,22.93919926972552,16;32;64;128,22.93919926972552;7.746862936712115;1.9575502046822262;0.9562613631241548,0.2,2,229,0.89453125,58.60418162163114,60.88932933239266,2.285147710761521,40.11095449735014,12.534673280421918,6.319106101989746
182,1,0.0,0.008867448446621469,0.008867448446621469,0.05750248178189159,64.00000003753709,128,16,16,36.42936391547704,16;32;64;128,36.42936391547704;14.612113263038951;10.361180639770673;2.402241238617936,0.2,2,238,0.9296875,-144.51986835582647,-19.6277763316466,124.89209202417987,47.63479541933281,14.885873568541502,6.33060884475708
182,2,0.008867448446621469,0.020367944802999787,0.011500496356378318,0.05750248178189159,89.98269420178579,128,16,16,35.898267518852165,16;32;64;128,35.898267518852165;11.292786027762306;4.490975988301222;1.6988120058112057,0.2,2,233,0.91015625,-19.6277763316466,41.0761759080342,60.7039522396808,43.17055991029333,13.490799971966664,6.339593887329102
182,3,0.020367944802999787,0.031868441159378105,0.011500496356378318,0.05750248178189159,116.53664051944445,128,16,16,25.047131281063944,16;32;64;128,25.047131281063944;10.056162077274085;3.0043603254806954;1.481527782532346,0.2,2,226,0.8828125,41.0761759080342,52.01904616039246,10.942870252358261,43.19584549868415,13.498701718338797,6.341876029968262
